comment,majority_vote_final,index,clean_comment
The XC90 T8 is the best bang for buck SUV,positive,526,xc90 t8 best bang buck suv
"The leather in the GLE looks soooo cheap, jesus",negative,527,leather gle look soooo cheap jesus
"Tag team…three VWs
Looks wise I’d go for the toureg and the bmw",positive,528,tag team three vws look wise would go toureg bmw
BMW love the rear end,positive,529,bmw love rear end
Volvo XC90??,neutral,530,volvo xc90
VW?! Why is Genesis GV80 not in this?,neutral,531,vw genesis gv80 not
AUDI PORSCHE VW BMW BENZ ❤❤❤���,neutral,532,audi porsche vw bmw benz
@carwow - what about Volvo XC90? Or that doesn’t compare ?,neutral,533,carwow volvo xc90 not compare
"Why the heck to compare the most expensive (and restricted) Touareg with the others? It will leave a margin to gain for others, if ICEd only�",neutral,534,heck compare expensive restrict touareg others leave margin gain others ice
"See and learn how this theatre acting, gentle  and raw words on right place and timing this guy is using.  Drom chosen cadre and angle to chosen interior, All followed by political aporoach. No money no music �.",neutral,535,see learn theatre act gentle raw word right place time guy use drom choose cadre angle choose interior follow political aporoach no money no music
whos spending 89k on a VW �,negative,536,spend 89k vw
Porsche boy cant get past badge snobbery.,negative,537,porsche boy not get past badge snobbery
"So the GLE has better engine, better ride quality, better rear legroom but X5 won?",positive,538,gle well engine well ride quality well rear legroom but x5
XC90 is missing in this test!�,neutral,539,xc90 miss test
Xiaomi su7 and ultra solo then all,neutral,540,xiaomi su7 ultra solo
Why are they all SUVs?,neutral,541,suv
"Pointless to hire to a racecar driver to press a button that says launch,  wait for some shouts, then push the gaspedal,  drive for 20 seconds straight ahead on a deserted runway.",negative,542,pointless hire racecar driver press button say launch wait shout push gaspedal drive 20 second straight ahead desert runway
Finally the best looking BMW out of them all SUVs.,positive,543,finally best look bmw suv
Where’s lexus,neutral,544,lexus
i can only see 3 cars here...,neutral,545,see 3 car
None of them.,neutral,546,none
BMW THE BEST ��,positive,547,bmw best
Really like the more prominent satirical component and the on point complaints packed with a bunch of humor. Good Style:),positive,548,really like more prominent satirical component point complaint pack bunch humor good style
Why didn’t you compare them with similar engine setup? All plugins for example �,neutral,549,not compare similar engine setup plugins example
In depth wow car wow. Wow this is awesome. Im waiting for the tiguan,positive,550,depth wow car wow wow awesome waiting tiguan
"used the wrong Cayenne IMO , needed the V8 twin turbo . Who wants a hybrid Porsche ?",negative,551,use wrong cayenne go need v8 twin turbo want hybrid porsche
BMW fanboy strikes again...,negative,552,bmw fanboy strike
"The reality is that people don't need these cars, only their egos do.",negative,553,reality people not need car egos
Why do we want a diesel when getting one of these?,neutral,554,want diesel get one
why Miguel have 2 glasses on?,neutral,555,miguel 2 glass
BMW�,neutral,556,bmw
All are junk.,negative,557,junk
Same platform same engine different tuning Insane prices�,negative,558,platform engine different tune insane price
"I wish the US got the new version of the Touareg, the atlas is a load of crap",negative,559,wish u get new version touareg atlas load crap
Nice watch,positive,560,nice watch
Three of the cars are made by the same company.,neutral,561,three car make company
The merc clearly has a nicer interior than the bmw. BMW looks very plastic. Plus bmw has copied the Mercedes layout.,positive,562,merc clearly nicer interior bmw bmw look very plastic plus bmw copied mercedes layout
"Thank god for aftermarket wheels! I'm talking to you, porsche. Great content as always �",positive,563,thank god aftermarket wheel talk porsche great content always
�Leather made from scrotums is crazy,negative,564,leather make scrotum crazy
"Dear Mat, may we please get a rematch for us BMW fanboys. The M5CS vs The RS7 performance please",neutral,565,dear mat may please get rematch u bmw fanboys m5cs v rs7 performance please
I had no clue doorgasm was a thing,neutral,566,no clue doorgasm thing
"Is the deployable tow hitch a UK only option? I asked the Porsche dealer here in the US, they have no idea if such option exist.",neutral,567,deployable tow hitch uk option ask porsche dealer u no idea option exist
I just want a SUV that's 4wd and has a manual transmission while looking new and stylish,neutral,568,want suv 4wd manual transmission look new stylish
I think the best one is the VW Touareg here because it’s the best Looking Car an it’s fast,positive,569,think best one vw touareg best look car fast
Mat please the Touareg has soft close nana,neutral,570,mat please touareg soft close nana
Missing - Maserati Levante ... should have been in this test .... why not ?? �,neutral,571,miss maserati levante test not
Nope!! Don’t care for any of them,neutral,572,nope not care
The audi and the toureg are the best value and very well rounded SUVs,positive,573,audi toureg best value very well round suv
Half a million quids worth in those 5 cars! Must have to have a screw loose to order them new at those prices! lol,neutral,574,half million quid worth 5 car must screw loose order new price lol
For once I agree 100% yet cannot buy any of the cars,neutral,575,agree 100 yet not buy car
Rather have a fully loaded XC90,positive,576,rather fully load xc90
BMW’s are so ugly nowadays wtf happened,negative,577,bmw ugly nowadays wtf happen
More electrics More problems!,negative,578,more electric more problem
3 Volkswagen 1 Gelly and 1 BMW,neutral,579,3 volkswagen 1 gelly 1 bmw
"I love how the ""luxury"" test is based on a VW Golf advert �",positive,580,love luxury test base vw golf advert
If you can get an F1 car then you can get an indycar and you should race that,neutral,581,get f1 car get indycar race
"You should compare not the newest Touareg, you better pick the older one 2021",neutral,582,compare not new touareg well pick old one 2021
Volkvqgen vs volkswagen vs volkswagen vs volkswagen �,neutral,583,volkvqgen v volkswagen v volkswagen v volkswagen
BMW for the win,positive,584,bmw win
Haha Matt has to be the biggest Mercedes hater there is,negative,585,haha matt big mercedes hater
"Which is best...none of them, they are all overpriced busses.",negative,586,best none overprice bus
Ouawww 26 min for 5 reviews cars perfect �. It’s not annoying and it’s really dynamic. Perfect I love it �. Thanks,positive,587,ouawww 26 min 5 review car perfect not annoy really dynamic perfect love thanks
"Audi, the family friendly brand",positive,588,audi family friendly brand
"That's not ""people's car"" no more",negative,589,not people car no more
Audi looks outdated.,negative,590,audi look outdated
These SUVs are just fat wagons. Not even close to a SUV.,negative,591,suv fat wagon not even close suv
I don't no why but why die you comparison Q7 with x5 and gle why not x7 with gls and the Q7 this was more realistic,neutral,592,not no but die comparison q7 x5 gle not x7 gls q7 more realistic
"90k Volkswagen?
Ah yes, the people's car. And we thought they were nuts when the Phaeton came out, lol.",neutral,593,90k volkswagen ah yes people car think nuts phaeton come lol
"BMW is always winning but Porsche being there I thought not this time,I'm glad it did still�",positive,594,bmw always win but porsche think not time glad still
Scrotums��,neutral,595,scrotum
When the ZR1 review coming?,neutral,596,zr1 review come
5:55 ���he never misses,positive,597,5 55 never miss
Can you do a drag race between a mg cyberster and a Tesla Model 3 Performance?,neutral,598,drag race mg cyberster tesla model 3 performance
0:04 0:03 мерседес всё же лучше,neutral,599,0 04 0 03 мерседес всё же лучше
"I watch mat talking the ""audi is the best"" and on the end its finish 3rd :(",neutral,600,watch mat talk audi best end finish 3rd
I would take the EV9 over all of these and still keep money for several family holidays,neutral,601,would take ev9 still keep money several family holiday
13:16 … ‘back door handling’ is VERY important. ���,positive,602,13 16 back door handle very important
8:39 … nothing WEIRD @all,neutral,603,8 39 nothing weird
"We want drag race between 
Lamborghini Aventador svj vs ford gt",neutral,604,want drag race lamborghini aventador svj v ford gt
"THIS is how you compare vehicles ! Not the ""compilation of old videos"" ! Amen",positive,605,compare vehicle not compilation old video amen
"You can get soft close on a Tuareg, just because it’s not on this particular press car doesn’t make it a whole negative point. That’s just typical Carwow , don’t review the actual car , review the spec of the press car and complain about it",positive,606,get soft close tuareg not particular press car not make whole negative point typical carwow not review actual car review spec press car complain
"The air systems that allow these SUVs to lower for ""easy loading"" have never been a sell point for me. If it's not lowering the vehicle by half a foot (or proper measurements like you all do throughout the rest of the world) I don't see the point.",neutral,607,air system allow suvs low easy load never sell point not lower vehicle half foot proper measurement like throughout rest world not see point
"Q7 best car overall, end of story. Bmw 2nd",positive,608,q7 best car overall end story bmw 2nd
3 of them are maide in Slovakia:). German car:)))),neutral,609,3 maide slovakia german car
If there was no bmw in this test it would’ve still won in Matthew’s opinion�,negative,610,no bmw test would still matthew opinion
"In around 17 years time I predict that you will be featuring these exact cars in an off road test, laughing as the bumper is ripped off and chuckling that it has bottomed out over a ludicrously oversized rock and you have lost the sump. Depreciation is savage �",neutral,611,around 17 year time predict feature exact car road test laugh bumper rip chuckle bottom ludicrously oversized rock lose sump depreciation savage
"Nice review as usual, disappointed that you didn't include anything from JLR. How would they have compared?",negative,612,nice review usual disappointed not include anything jlr would compare
"Is it just me or the VW and porsche engine bay plus engine, break system, coolant container and a few stuff look the same and the audi also but audi have a kind a different engine and one thing missing are they all same platform?",neutral,613,vw porsche engine bay plus engine break system coolant container stuff look audi also but audi kind different engine one thing miss platform
These car prices are so high for what you’re getting. Almost £100k and in 6 months your neighbour will have a newer one with those better LED lights �,negative,614,car price high get almost 100k 6 month neighbour newer one good lead light
I'd have a secondhand Perodua Nippa.,neutral,615,would secondhand perodua nippa
"Why exactly the bmw won I don't know, but I'll take it as a BMW fan.",positive,616,exactly bmw not know but take bmw fan
Honda,neutral,617,honda
"1 BMW, 1 mercedes and 3 volkswagen))",neutral,618,1 bmw 1 mercedes 3 volkswagen
Shame no Alfa or Volvo in the video. Both are interesting cars for their own merits.,negative,619,shame no alfa volvo video interest car merit
Always BMW,positive,620,always bmw
None of them win they are all SUV's BORING.....,negative,621,none win suv boring
Since when did VW become luxury….,neutral,622,since vw become luxury
What in the fuck did you just say about the best looking car here 5:36,positive,623,fuck say best look car 5 36
epic video as always �,positive,624,epic video always
Thumbnail already has all the vehicles ranked in the correct order starting with the best one from the left ��,positive,625,thumbnail already vehicle rank correct order start best one left
Touaregs are supposed to be affordable cars with a lot of the luxuries and tech from Audi but now it's more expensive than a Q7???,negative,626,touaregs suppose affordable car lot luxury tech audi but more expensive q7
They're all driven by entitled idiots who need their licences taken off them because they don't know the difference between the road and the pavement so it doesn't matter.,negative,627,driven entitle idiot need licence take not know difference road pavement not matter
"I will take the Bimma , Porsche, Mercedes, Audi.",positive,628,take bimma porsche mercedes audi
Wrong you could buy a Land Rover discovery. Cheaper and bigger more room.,neutral,629,wrong could buy land rover discovery cheap big more room
Its got to be hard to compare 5 cars at once and keep everything sorted in your head as to which felt best.,positive,630,get hard compare 5 car keep everything sort head felt best
Why do you hate volkswagen?,negative,631,hate volkswagen
Bmw always ❤,positive,632,bmw always
And best is Volvo,positive,633,best volvo
Watch out for corners with that Audi,neutral,634,watch corner audi
VW knows how to sell Touareg in different styling,neutral,635,vw know sell touareg different styling
Where is Volvo?,neutral,636,volvo
Ultimate driving machine wins�,positive,637,ultimate driving machine win
Sf90 vs sf90xx,neutral,638,sf90 v sf90xx
���,neutral,639,
Audi OOOO the best! :),positive,640,audi oooo best
"BMW is the best ��
Shut it down",positive,641,bmw best shut
I think this is the first a Mercedes has won a drag race ��,neutral,642,think first mercedes drag race
"say what you want about the new BMW styling phylosophy, it has the most soul still",positive,643,say want new bmw style phylosophy soul still
I just realised Matt is a VW hater �����������������������������������������,negative,644,realise matt vw hater
I don’t care which is best but the Audi and BMW are too hideous to look at every day so they lose.,positive,645,not care best but audi bmw hideous look every day lose
You should have also putted the ford explorer 457hp!,neutral,646,also putt ford explorer 457hp
"I haven’t seen this video yet but I’m sure that Benz is the worst over priced trash, and the VW is a beauty.",negative,647,not see video yet but sure benz worst price trash vw beauty
"It's always fvking bmw, Mat is a bmw fanboy, that's confirmed",negative,648,always fvking bmw mat bmw fanboy confirm
"Love it or hate it,Mercedes will always make an entrance wherever ever you go",positive,649,love hate mercedes always make entrance wherever ever go
Audi for the win!! Who’s with me?,positive,650,audi win
"Im more curious to know, what kind of mental illness you gotta have to spend 90k for something with a VW badge �",negative,651,more curious know kind mental illness get spend 90k something vw badge
You don't really need anything more than a Touareg.,positive,652,not really need anything more touareg
nothin' wrong with a reach-around Mat,neutral,653,nothing wrong reach around mat
Idk what you guys think but i think Cayenne looks like it’s from 2010’s. Very outdated front,negative,654,not know guy think but think cayenne look like 2010 very outdated front
"90.000 £ for a tuareg, bruh �",negative,655,90 000 tuareg bruh
What the hell is going on in the comments,neutral,656,hell go comment
❤❤❤❤,neutral,657,
"BMW is ugly, any of those apart of BMW for sure",negative,658,bmw ugly apart bmw sure
All those cars still lighter than m5 �,neutral,659,car still light m5
"Great to see a head to head comparison, this is why I subscribed in the first place",positive,660,great see head head comparison subscribe first place
"So the audi is the best car all round (something unless youre rich and have money to throw away you're going to want), but doesn't win because in matts opinion its not the best looking? Crazy times",positive,661,audi best car round something unless rich money throw away go want but not win matts opinion not best look crazy time
As Volvo guy where is the XC90?,neutral,662,volvo guy xc90
Carwow videos are the best �,positive,663,carwow video best
Tesla,neutral,664,tesla
Missing a LR and a Volvo in the comparison,neutral,665,miss lr volvo comparison
Use Q8 Sir,neutral,666,use q8 sir
I love reviews more than drags! Thanks mattt!!,positive,667,love review more drags thanks mattt
GLE FUCKS easily.,positive,668,gle fuck easily
That is one dense episode! Great���,positive,669,one dense episode great
"The BMW has by far the smallest knee room, even smaller than in the X3.
It just doesn't show because Mat has very short legs.",neutral,670,bmw far small knee room even small x3 not show mat very short leg
Well the vw is really worth the price… it is a verry good car good quality and better than Those bmw and merc … and its a good engine,positive,671,well vw really worth price verry good car good quality well bmw merc good engine
"Why is VW even considered for this comparison? They are not even premium class, you have Audi and Porche as their premium members (built on a same platform).",negative,672,vw even consider comparison not even premium class audi porche premium member build platform
Audi is clearly overall most practical for day to day use. Or you can buy a badge. But can you be honest with yourself?,positive,673,audi clearly overall practical day day use buy badge but honest
three VW vs merc and bmw,neutral,674,three vw v merc bmw
The GLE is literal poo. So cheaply made. It's a horrible car.,negative,675,gle literal poo cheaply make horrible car
"With the price of some of these cars I'd need what I paid for it stuck on the back window because no one will believe it!. Or maybe that would just leave me open to ridicule? German made cars the ticket price is only the staring point. 
Sales Assistant.....""But you will NEED these £25,000 of extras before you can drive it away""",negative,676,price car would need pay stick back window no one believe maybe would leave open ridicule german make car ticket price star point sale assistant but need 25 000 extra drive away
All way too expensive.  Don't buy any of them!,negative,677,way expensive not buy
"Speed - Porsche 
Luxury - BMW 
Fuel economy, affordability- VW",neutral,678,speed porsche luxury bmw fuel economy affordability vw
What happened at 0:14?? Looks fine to me,neutral,679,happen 0 14 look fine
Id have a polestar 3 over any of these,neutral,680,id polestar 3
Why is the audi back door panel looks 90% like the 2014 audi a6�,neutral,681,audi back door panel look 90 like 2014 audi a6
Iets been over a year since you guys raced the Ferrari SF90 vs the 3000hp Nissan Patrol. And the Nissan shit it self in the video and you said you would do it again when it was fixed. But its been over a year now. Whats happening with that?,neutral,682,iets year since guy race ferrari sf90 v 3000hp nissan patrol nissan shit self video say would fix but year happening
eboladrome,neutral,683,eboladrome
Imagine paying about 90k for a vw ����,negative,684,imagine pay 90k vw
$90k for a VW......�,negative,685,90k vw
"This was a bit of a joke, clear bias towards the Merc and BMW, I love how Matt and CW have transformed car reviews and testing but they still need to be objective.",negative,686,bit joke clear bias towards merc bmw love matt cw transform car review test but still need objective
Amazing video. Please do the same on mid size SUV. X3 ETC,positive,687,amaze video please mid size suv x3 etc
What a bunch of dinosaurs these 5 are,negative,688,bunch dinosaurs 5
It should have been an x7 to compare to all the other cars,neutral,689,x7 compare car
I was wondering what exactly is a Mercedes Jelly.,neutral,690,wonder exactly mercedes jelly
No Lexus?,neutral,691,no lexus
"dude I am 11 how am I gonna sell my car ""just a joke""",neutral,692,dude 11 go sell car joke
which shoes is matt watson wearing in this video?,neutral,693,shoe matt watson wear video
�,neutral,694,
Damn that Touareg is way too expensive,negative,695,damn touareg way expensive
I want a suv you can sleep in the back  need matt to do the lie down test,neutral,696,want suv sleep back need matt lie test
"These are so old designs, all of them, Q7 and X5 just redesigned, but so little effort went into it.
The interiors are nice, but they are just reused across all models.",negative,697,old design q7 x5 redesign but little effort go interior nice but reused across model
bmw boys are always be like hypocritically unreasonable,negative,698,bmw boys always like hypocritically unreasonable
Why do car shows put porsche into this bracket? Anyone who has had a porsche and any other of these brands knows the difference .it's like braised steak and fillet,negative,699,car show put porsche bracket anyone porsche brand know difference like braise steak fillet
If you ask me he should have used an x7 not an x5 they aren’t the same x7 W,neutral,700,ask use x7 not x5 not x7 w
"the engine bay of the audi, vw, and Porsche is like looking at the same picture�",neutral,701,engine bay audi vw porsche like look picture
Alfa❤❤❤,neutral,702,alfa
"9:23 no, they don’t care. They’re on their pads all the trip. Obviously you don’t have kids �. 

They’re not like us.",neutral,703,9 23 no not care pad trip obviously not kid not like u
I can’t see what everyone’s talking about�have they removed it? Am I late for the party?!,neutral,704,not see everyone talk remove late party
Bimmer���,neutral,705,bimmer
Where is the Lexus �,neutral,706,lexus
I think audi is best,positive,707,think audi best
That audi q7 as low hp than all cars,negative,708,audi q7 low hp car
Bmw klar und deutlich ��,neutral,709,bmw klar und deutlich
Bro why brought audi q7 all cars are 5 seater and that audi is 7 seater it's not fair,negative,710,bro bring audi q7 car 5 seater audi 7 seater not fair
Toureg looks best,positive,711,toureg look best
All are ugly and all are overpriced. I’d buy a Genesis GV 80 for less and it looks better,negative,712,ugly overprice would buy genesis gv 80 less look well
"BMW ❤❤❤, thanks for sharing",positive,713,bmw thanks share
Was the over take button pushed and S+ selected on the Porsche during drag racing?,neutral,714,take button push select porsche drag race
Porsche Cayene the ugliest car in the world,negative,715,porsche cayene ugly car world
Very Audi Biased��,negative,716,very audi bias
Without looking at the video yet already knew bmw won,neutral,717,without look video yet already know bmw
90k for a Volkswagen? Really?,negative,718,90k volkswagen really
"None of the X5 tests of Carwow revealed that X5 has the smallest legroom in the second row from all tested vehicles, even smaller than the current X1. This effectively disqualifies it for families with grown-up kids.",negative,719,none x5 test carwow reveal x5 small legroom second row test vehicle even small current x1 effectively disqualify family grown kid
"Wow, £4K off.",positive,720,wow 4k
@carwow why is there no volvo Xc90 T8,neutral,721,carwow no volvo xc90 t8
"Wonderfull carwow video, need more like thsisss",positive,722,wonderfull carwow video need more like thsisss
So we have all German cars of the which 3 are from one group ... VAG. Why no RR Velar or Sport? Or perhaps Lexus RX.,neutral,723,german car 3 one group vag no rr velar sport perhaps lexus rx
"In this order ��
1. Porsche Cayenne Turbo GT Coupe
2. BMW X6M
3. Mercedes GLE63 AMG Coupe
4. Audi RSQ8
5. Acura MDX Type-S",neutral,724,order 1 porsche cayenne turbo gt coupe 2 bmw x6m 3 mercedes gle63 amg coupe 4 audi rsq8 5 acura mdx type
I wonder how the Range Rover & Ford Explorer ST would do,neutral,725,wonder range rover ford explorer st would
None of these cars out of warranty is exciting. The Merc has the worse re sale value because they cost way too much to keep on the road out of warranty.,negative,726,none car warranty excite merc bad sale value cost way much keep road warranty
"Мені чомусь Туарег більш за все сподобався, не знаю чому �",neutral,727,мені чомусь туарег більш за все сподобався не знаю чому
My favourite collection of cars...just add range raver to make it complete,positive,728,favourite collection car add range raver make complete
At 19:58 was that a cup of coffee that it showed on the Mercedes dash when you hit the gas?,neutral,729,19 58 cup coffee show mercedes dash hit gas
Mercedes still sounds better along with audi,positive,730,mercedes still sound well along audi
All the best brands,positive,731,best brand
90k for a vw is ridiculous,negative,732,90k vw ridiculous
Q8 vs GLE Coupe vs X6 next,neutral,733,q8 v gle coupe v x6 next
Why test the diesel versions?,neutral,734,test diesel version
The VW is just not there with the BMW,neutral,735,vw not bmw
"Perfect moment for this video, thank you, very informative. 
I am currently looking which German SUV I should get, I guess BMW it is �",positive,736,perfect moment video thank very informative currently look german suv get guess bmw
Would have an Audi Q8 or a GLE coupe,positive,737,would audi q8 gle coupe
Porsche,neutral,738,porsche
That VW is OVERPRICED,negative,739,vw overprice
The Touareg has the same problem that the Phaeton did. Hard to pay $90k for a VW,negative,740,touareg problem phaeton hard pay 90k vw
The best 4WD is the Toyota Land Cruiser followed by the Toyota HiLux.  Your selection are mere toys.,positive,741,best 4wd toyota land cruiser follow toyota hilux selection mere toy
Is Miguel a man with a beard or a yak?,neutral,742,miguel man beard yak
8:00 he's onto something�,neutral,743,8 00 onto something
Cadillac escalade,neutral,744,cadillac escalade
Porsche always beyond Ahead.,positive,745,porsche always beyond ahead
RAF Greenham?  I believe that is the only US Airforce base that has closed so far in the UK.  The Cold War bunkers bring back memories.,neutral,746,raf greenham believe u airforce base close far uk cold war bunker bring back memory
Why are there no Japanese & Korean vehicles included?,neutral,747,no japanese korean vehicle include
Should have included the Cx90. Mighty good ride.,positive,748,include cx90 mighty good ride
BMW X5 has the best value for money,positive,749,bmw x5 best value money
You are a bmw fan �,neutral,750,bmw fan
Why not lexus rx500h,neutral,751,not lexus rx500h
Bmw is the best,positive,752,bmw best
"Q7 is a competitor with GLS, Cayenne, and Atlas, not Touraeg and GLE, That's why it looks like the better option on here.",positive,753,q7 competitor gls cayenne atlas not touraeg gle look like good option
I'll take the Merc over the rest any day. It looks and feels like a luxurious tank!��,positive,754,take merc rest day look feel like luxurious tank
BMW,neutral,755,bmw
"Beside the Mercedes & BMW, the rest are the same car.",neutral,756,beside mercedes bmw rest car
After driving a lot of the competition I settled with an SQ8 and I’m absolutely in love with it❤,positive,757,drive lot competition settle sq8 absolutely love
These prices are ridiculous,negative,758,price ridiculous
Overpriced lifted hatchbacks ,negative,759,overprice lift hatchback
All boring and impractical cars.,negative,760,bore impractical car
Why you didn’t bring Lexus lx600 f sport?��,neutral,761,not bring lexus lx600 f sport
Whoever speced the x5 they need some work,neutral,762,whoever speced x5 need work
Great comparison Mat!,positive,763,great comparison mat
"In 1978 when the 3.0 911SC was tested, everyone talked about it's speed.  Quarter mile was slower than every SUV you just tested... 14.8 seconds.",neutral,764,1978 3 0 911sc test everyone talk speed quarter mile slow every suv test 14 8 second
Bmw Mercedes Audi Vw no luxe ����� Aston Martin Roll Royce Bugatti Ferrari Lamborghini Bentley �,neutral,765,bmw mercedes audi vw no luxe aston martin roll royce bugatti ferrari lamborghini bentley
"@carwow 
So you have cut the insane first 20 seconds ��",negative,766,carwow cut insane first 20 second
"The one benefit of GM's engineering-out quality, is that other car manufacturers have also been able to substantially reduce their quality too, but still stay well ahead of GM products.  Ultimately it's a Win / Win.",positive,767,one benefit gm engineering quality car manufacturer also able substantially reduce quality but still stay well ahead gm product ultimately win win
Where’s the Alfa Stelvio??,neutral,768,alfa stelvio
BMW’ are rubbish! It even looks horrendous!,negative,769,bmw rubbish even look horrendous
Why deisle?,neutral,770,deisle
Which is best? Anything NOT German.,negative,771,best anything not german
Miss my £1200 Grandis,neutral,772,miss 1200 grandis
"I’ll take the X5. Best looks IMO, driving, bulletproof N57 engine and tech. The Xdrive40i is a great one as well.",positive,773,take x5 best look go drive bulletproof n57 engine tech xdrive40i great one well
crossovers aren't SUVs.,neutral,774,crossover not suvs
The Purosangue and Cayenne are actually the best SUV on this drag race.�,positive,775,purosangue cayenne actually best suv drag race
"Audi, Audi’s best",positive,776,audi audi best
German Vs videos,neutral,777,german v video
Where is Volvos?��,neutral,778,volvos
You are just a BMW guy,neutral,779,bmw guy
And in the end for Matt is always bmw even if there is a ferrari�,neutral,780,end matt always bmw even ferrari
among these i pick the lexus,neutral,781,among pick lexus
Porsche looks terribly 2010,negative,782,porsche look terribly 2010
BMW cabin was noisy,negative,783,bmw cabin noisy
"None of them are reliable so you're picking the best unreliable SUV? BTW, you only have 3 manufacturers there, VW, Audi and Porsche are the same pile of crap!",negative,784,none reliable picking best unreliable suv way 3 manufacturer vw audi porsche pile crap
Basically 3 Touareg (2 of them with a different mask) v bmw and merc �,neutral,785,basically 3 touareg 2 different mask v bmw merc
I miss Volvo�,neutral,786,miss volvo
Mercedes is the imposter from the group,neutral,787,mercedes imposter group
I only buy a car based off closing the door. It has to feel right.,neutral,788,buy car base closing door feel right
"£90,000 for a VW??????!",negative,789,90 000 vw
I like this tests,positive,790,like test
The wheels on that Porsche �,neutral,791,wheel porsche
Wow would never pay that for most of those,negative,792,wow would never pay
No Lexus?,neutral,793,no lexus
Bmw for me. I like the audi tho,positive,794,bmw like audi though
Audi VW �‍��‍��‍�,neutral,795,audi vw
Which is best? The best on is that one you have!,positive,796,best best one
Matt. You chose the BMW which surprises absolutely NO-ONE.,positive,797,matt choose bmw surprise absolutely no one
BMW v Mercedes v Three flavors of VW.,neutral,798,bmw v mercedes v three flavor vw
Why not X5 50e??,neutral,799,not x5 50e
Should've added a range rover sport pr land rover discovery,neutral,800,added range rover sport pr land rover discovery
WHO IS SPENDING THAT MUCH MONEY ON A VOLKSWAGEN,negative,801,spending much money volkswagen
Sooo very predictable when you reviewing cars where there is BMW. Very predictable.,negative,802,sooo very predictable review car bmw very predictable
Does anyone want to see diesel reviews?,neutral,803,anyone want see diesel review
i would prefer the mercedes followed by audi. they both look much better than the rest,positive,804,would prefer mercedes follow audi look much well rest
"Got to be honest, the BMW is the best inside and out �",positive,805,get honest bmw best inside
100£  with plastics…,negative,806,100 plastic
The Audi q7 is the best suv for your buck. Had mine for 2 years and it’s been amazing. Had a GLE and X5 but the Audi is a better family car,positive,807,audi q7 best suv buck mine 2 year amaze gle x5 but audi good family car
"Cayenne, q7 and Touareg all on the same platform, parts are the same sometimes",neutral,808,cayenne q7 touareg platform part sometimes
"Oh, look, the BMW fan boy at it again..why I'm I not surprised he chose the BMW..for the millionth time�.. and where's the Range Rover Sport in this test...",negative,809,oh look bmw fan boy not surprise chose bmw millionth time range rover sport test
What about Volvo�,neutral,810,volvo
"Having tested the Audi, BMW, Mercedes and Porsche - this is lazy journalism.  The Porsche is the best for build quality and handling (be it hybrid or sport / sport plus mode).  All three and the Mercedes are over priced regardless and therefore 'quality for money' is thrown out of the window as buyers would look elsewhere if that was the priority.  As for the weight and brakes - none of these cars as exactly sports cars.  All are SUVs and weigh accordingly.  The Mercedes is great if you are looking for a boat feel.  The BMW is probably the car closest to the Porsche.  Having owned both a BMW X5 and a Porsche Cayenne, I would say that the Porsche is simply in a class above the BMW and the others in this comparison - be it the hybrid model or any of the pure petrol engines.  In truth though, all these cars really make no sense so whichever someone chooses to buy is likely down to subjective rationale rather than common sense.",positive,811,test audi bmw mercedes porsche lazy journalism porsche best build quality handle hybrid sport sport plus mode three mercedes price regardless therefore quality money throw window buyer would look elsewhere priority weight brake none car exactly sport car suvs weigh accordingly mercedes great look boat feel bmw probably car close porsche own bmw x5 porsche cayenne would say porsche simply class bmw others comparison hybrid model pure petrol engines truth though car really make no sense whichever someone choose buy likely subjective rationale rather common sense
Where are the range rovers or land rovers?,neutral,812,range rover land rover
Best job in the world,positive,813,best job world
Id go Q7 everytime if it's a Buy car. Bmw or Porsche if it's a rent,positive,814,id go q7 everytime buy car bmw porsche rent
Wheres range rover,neutral,815,range rover
"Best is my pre-facelift 4,0L V8 Touareg TDi from 2020. It is about 200 KG lighter than this hybrid weight monsters and delivers instantly power (310kw, 900 Nm beginning from 1.250 revs) every time I needed. And not only for a little time when the battery is fully loaded. For example : with empty battery the Touareg Hybrid has only 450Nm instead of 700NM with full battery. And both are miles away from my 900Nm.",positive,816,best pre facelift 4 0l v8 touareg tdi 2020 200 kg light hybrid weight monster delivers instantly power 310kw 900 nm begin 1 250 rev every time need not little time battery fully loaded example empty battery touareg hybrid 450nm instead 700nm full battery mile away 900nm
"Mat, when will we see the Rimac Nevera against the Lucid Air Sapphire?�",neutral,817,mat see rimac nevera lucid air sapphire
Faz o Review do novo Corvette zr1 2025 vocês são os melhores �‍↕️�,neutral,818,faz review novo corvette zr1 2025 vocês são o melhores
Mat is a BMW fan boy...beamers always win,negative,819,mat bmw fan boy beamers always win
Why no Alfa Romeo Stelvio in it?,neutral,820,no alfa romeo stelvio
X5 50e for me followed by a cayenne coupe,positive,821,x5 50e follow cayenne coupe
German Car❤,neutral,822,german car
ill take the q7 i dont have anything against the other cars i just want the audi,positive,823,ill take q7 not anything car want audi
"What does a Volkswagen do among luxury cars? This brand will never enter that market, no matter what they put in a car. They failed lamentably with the Phaeton.",negative,824,volkswagen among luxury car brand never enter market no matter put car fail lamentably phaeton
"Mat, that watch fits you well! class :)",positive,825,mat watch fit well class
wolkswagen tourareg has soft closr,neutral,826,wolkswagen tourareg soft closr
Matt it’s PorschE not Porsch ��,neutral,827,matt porsche not porsch
