comment,majority_vote_final,index,clean_comment,bing_liu_label,sentiwordnet_label
Honda or Toyota are way more reliable and cheaper.,positive,435,honda toyota way more reliable cheaper,Positive,Positive
bro likes the bmw more so he put it before the audi q7. like wtf,neutral,436,bro like bmw more put audi q7 like wtf,Positive,Neutral
Drag race the techart Porsche !,neutral,437,drag race techart porsche,Negative,Positive
24:25 for the drag race,neutral,438,24 25 drag race,Negative,Positive
Now do the GLE53 AMG hybrid�,neutral,439,gle53 amg hybrid,Neutral,Neutral
Should’ve added the GV80,neutral,440,add gv80,Neutral,Neutral
You forgot the Range Rover Sport,neutral,441,forgot range rover sport,Neutral,Neutral
£89k for a v-dub......hilarious,negative,442,89k v dub hilarious,Positive,Negative
The tesla plaid being absent says a lot about the results�,neutral,443,tesla plaid absent say lot result,Neutral,Neutral
buy sq7,neutral,444,buy sq7,Neutral,Neutral
911k views,neutral,445,911k view,Neutral,Neutral
Couldn’t care less about SUVs,negative,446,could not care less suvs,Neutral,Negative
Mercedes Benz,neutral,447,mercedes benz,Neutral,Neutral
Mercedes ❤,neutral,448,mercedes,Neutral,Neutral
"Is it just me, or does the leather on the Mercedes look kind of nasty. The grain looks unnaturally large.",negative,449,leather mercedes look kind nasty grain look unnaturally large,Negative,Negative
"so the Audi won, sweet",positive,450,audi sweet,Positive,Neutral
Porsche�,neutral,451,porsche,Neutral,Neutral
The back door Aeeeee�,neutral,452,back door aeeeee,Neutral,Neutral
90k for a W���,neutral,453,90k w,Neutral,Neutral
Correct verdict �,positive,454,correct verdict,Positive,Positive
"He doesn't want to admit that mercedes won the race , he even want the fastest version of the bmw �  should have used the fatest version �� always complaining",negative,455,not want admit mercedes race even want fast version bmw use fat version always complain,Negative,Negative
Matt is always lying though ��,neutral,456,matt always lie though,Negative,Negative
Why I had a feeling bmw will win?,positive,457,feel bmw win,Positive,Positive
niuce,positive,458,niuce,Neutral,Neutral
Born e Soweto Bara...i won't be surprised  she thinks  Bara is in Small street.,neutral,459,bear e soweto bara not surprised think bara small street,Neutral,Negative
3 VWs vs BMW vs Mercedes ��,neutral,460,3 vws v bmw v mercedes,Neutral,Neutral
Even before I watched it I knew bmw will win it �,positive,461,even watch know bmw win,Positive,Positive
Matts spot on about Merc interior and cheap leather! Owned one and done my head in,negative,462,matt spot merc interior cheap leather own one do head,Negative,Negative
Better off with a 10 year old SUV and buying new parts and a service,positive,463,well 10 year old suv buy new part service,Positive,Positive
"All of these are not good, get a Tesla",negative,464,not good get tesla,Negative,Positive
BMW always wins these comparisons because its awlays the BESTTTT,positive,465,bmw always win comparison awlays bestttt,Positive,Negative
Yaa we know you Re audi liker.. so stop momping ����,negative,466,yaa know audi liker stop momping,Neutral,Neutral
Would rather have a Alfa Romeo stelvio ❤,positive,467,would rather alfa romeo stelvio,Neutral,Neutral
Gimme audi all day,positive,468,give audi day,Neutral,Neutral
Shouldn’t the Audi in this comparison/segment be the Q5?,neutral,469,not audi comparison segment q5,Neutral,Negative
i see 3 vws tho,neutral,470,see 3 vws though,Neutral,Neutral
New speed limiters in Europe and the UK are switchable by the driver. But limiter is turned on each time the car is turned on.,neutral,471,new speed limiter europe uk switchable driver but limiter turn time car turn,Neutral,Positive
"“The luxury test”, this is too funny ��",positive,472,luxury test funny,Neutral,Positive
“Have the made them out of strotums” ���,neutral,473,make strotums,Neutral,Positive
In the end which car is the best?? Answer- The German one,positive,474,end car best answer german one,Positive,Positive
"23:54 ""And now the Mercedes is cumming"" Say what? LOL",positive,475,23 54 mercedes cumming say lol,Neutral,Neutral
WV Audi and Porsche has the same coolant tank in the same place :D,neutral,476,wv audi porsche coolant tank place,Negative,Neutral
"This test proves that the only Porsche that is worth the price and has much better attributes is the 911... the other Porsches cannot have as good a price/quality ratio as Audi, BMW and Mercedes...",positive,477,test prove porsche worth price much good attribute 911 porsches not good price quality ratio audi bmw mercedes,Positive,Positive
I’ll keep my Volvo XC90,positive,478,keep volvo xc90,Neutral,Neutral
I know that BMW will be the winner before I see this video,positive,479,know bmw winner see video,Positive,Neutral
Since when VW is a luxury SUV?,neutral,480,since vw luxury suv,Positive,Positive
Probably should've done the Lexus too,neutral,481,probably do lexus,Neutral,Neutral
Finally i got all cars that im intrested in one video. Thank you Matt,positive,482,finally get car intrested one video thank matt,Positive,Negative
All these cars lighter than the new M5…,neutral,483,car lighter new m5,Positive,Positive
"Vw, Audi los mejores",neutral,484,vw audi los mejores,Neutral,Neutral
How did it happen that Audi is cheaper than Volkswagen in the base?,negative,485,happen audi cheap volkswagen base,Negative,Negative
"should atleast compare similiar engines so its a like for like, ones petrol, ones hybrid, ones a lower power diesel whilst the other is a model above, either put all basic, mid range or top spec to give a more accurate  like for like",positive,486,atleast compare similiar engine like like one petrol one hybrid one low power diesel whilst model either put basic mid range top spec give more accurate like like,Positive,Negative
Has to be the bmtroubleyou doesn't it,neutral,487,bmtroubleyou not,Neutral,Negative
@carwow: The X5 can be optioned with electrically slidable and reclining rear-seats. It’s included when you spec it as a 7-seater.,neutral,488,carwow x5 optioned electrically slidable recline rear seat include spec 7 seater,Neutral,Neutral
"That video would've made sense if all the cars had the same engine. Mindblowing, right?",negative,489,video would make sense car engine mindblowing right,Positive,Positive
That Volkswagen looks so sick ��,positive,490,volkswagen look sick,Negative,Negative
Sq7,neutral,491,sq7,Neutral,Neutral
Get the x5m,neutral,492,get x5m,Neutral,Positive
"Why bother reviewing other car brands . Every test M Watson does he chose bmw  as the best 
He must be sponsored by them … its  so predictable",negative,493,bother review car brand every test watson choose bmw best must sponsor predictable,Neutral,Positive
I don't see the best SUV there,positive,494,not see best suv,Positive,Positive
I can’t help watching this and thinking “look at all these electronic trinkets just waiting to malfunction”.,neutral,495,not help watch think look electronic trinket wait malfunction,Neutral,Negative
Really you are only comparing 3 different cars,neutral,496,really compare 3 different car,Neutral,Positive
So many comments about the Touareg price but nobody is acknowledging that it was the 2nd fastest suv here. May be my bias as an owner of one but I choose vw �,positive,497,many comment touareg price but nobody acknowledge 2nd fast suv may bias owner one but choose vw,Neutral,Positive
"Audi would be my choice of car. Practical, comfortable and well built.
Second, be the VW. Then the Porsche.
I don't see myself having the Merc nor the BMW.",positive,498,audi would choice car practical comfortable well build second vw porsche not see merc bmw,Positive,Negative
Grabbing the aliens head lol,positive,499,grab alien head lol,Neutral,Negative
What a ridiculous conclusion.�,negative,500,ridiculous conclusion,Negative,Negative
"Not one of them is on top, Toyota, and Lexus are the best",positive,501,not one top toyota lexus best,Positive,Positive
If you're going to review Porsche maybe you should learn how to say it correctly It's A Man's last name for God's sake,neutral,502,go review porsche maybe learn say correctly man last name god sake,Positive,Positive
"All to expensive for what,  and what is the 5 year repair Forcast, and average cost of repair for each car,,,these are sucker mobiles or for non car people who just buy a car for 2 three years and change up,,,no my style to supply billionairs with more money",negative,503,expensive 5 year repair forcast average cost repair car sucker mobiles non car people buy car 2 three year change no style supply billionairs more money,Negative,Positive
have they made it from ball sacks,neutral,504,make ball sack,Negative,Neutral
That GLE has already had a scratch and shine wash,neutral,505,gle already scratch shine wash,Neutral,Positive
"Mercedes interior quality is really hitting rock bottom, aren't they?",negative,506,mercedes interior quality really hit rock bottom not,Neutral,Positive
Q7 �,neutral,507,q7,Neutral,Neutral
"Why should any of this surprise anyone? All three (VW, Porsche, Audi) are literally the same car, even the Bentley and Lamborghini suvs are off the same platform. The Benz is gaudy with crappy interior and the BMW is as always the best driver for the money. BMW is at the top of their game with best quality interior also..plus it is made in the USA!",positive,508,surprise anyone three vw porsche audi literally car even bentley lamborghini suv platform benz gaudy crappy interior bmw always best driver money bmw top game best quality interior also plus make usa,Positive,Positive
"Vw is the best second is Porsche and third is bmw and the Q7 is crap because it's too plastic and every Audi is the same inside, and the Mercedes has fake exhausts and plastic inside, do I need to list more?",positive,509,vw best second porsche third bmw q7 crap plastic every audi inside mercedes fake exhaust plastic inside need list more,Negative,Positive
touareg is better get it used not new� 100k for a touareg is crazy,negative,510,touareg well get use not new 100k touareg crazy,Neutral,Negative
missing RX and XC90,neutral,511,miss rx xc90,Negative,Neutral
Who buys smoking oil burners these days?!?,neutral,512,buy smoke oil burner day,Negative,Negative
"Landrover Discovery?
Rangerover Sport?",neutral,513,landrover discovery rangerover sport,Neutral,Neutral
Thank you matt Watson for being onest about the bmw.   I will choose that bima all day long,positive,514,thank matt watson on bmw choose bima day long,Positive,Negative
I will take the bima all day long ���,positive,515,take bima day long,Neutral,Neutral
The answer is easy…. None of them is best (for the road) because they are agricultural vehicles.,negative,516,answer easy none best road agricultural vehicle,Neutral,Positive
100k for a family wagon? Perhaps I'm old but the world has gone mad!,negative,517,100k family wagon perhaps old but world go mad,Negative,Positive
We all know someone who says : well i have testet the bmw but wait until you try the Mercedes,neutral,518,know someone say well testet bmw but wait try mercedes,Positive,Positive
think the bmw  won the ugly test,negative,519,think bmw ugly test,Negative,Positive
To me based on your video its an easy win to Mercedes!,positive,520,base video easy win mercedes,Positive,Positive
The German SUV wins ....,positive,521,german suv win,Positive,Positive
I'm very happy with my 396ps 800nm Alpina XD4.Has to be the best diesel engine available,positive,522,very happy 396ps 800nm alpina xd4 best diesel engine available,Positive,Positive
Volvo not big in the UK?,neutral,523,volvo not big uk,Neutral,Negative
Who on EARTH IS PAYING £90K for a V6 VW SUV?,negative,524,earth pay 90k v6 vw suv,Neutral,Neutral
"Not the M BMW , so sorry, not interested…",negative,525,not bmw sorry not interested,Negative,Negative
The XC90 T8 is the best bang for buck SUV,positive,526,xc90 t8 best bang buck suv,Positive,Positive
"The leather in the GLE looks soooo cheap, jesus",negative,527,leather gle look soooo cheap jesus,Negative,Negative
"Tag team…three VWs
Looks wise I’d go for the toureg and the bmw",positive,528,tag team three vws look wise would go toureg bmw,Positive,Neutral
BMW love the rear end,positive,529,bmw love rear end,Positive,Positive
Volvo XC90??,neutral,530,volvo xc90,Neutral,Neutral
VW?! Why is Genesis GV80 not in this?,neutral,531,vw genesis gv80 not,Neutral,Negative
AUDI PORSCHE VW BMW BENZ ❤❤❤���,neutral,532,audi porsche vw bmw benz,Neutral,Neutral
@carwow - what about Volvo XC90? Or that doesn’t compare ?,neutral,533,carwow volvo xc90 not compare,Neutral,Negative
"Why the heck to compare the most expensive (and restricted) Touareg with the others? It will leave a margin to gain for others, if ICEd only�",neutral,534,heck compare expensive restrict touareg others leave margin gain others ice,Negative,Positive
"See and learn how this theatre acting, gentle  and raw words on right place and timing this guy is using.  Drom chosen cadre and angle to chosen interior, All followed by political aporoach. No money no music �.",neutral,535,see learn theatre act gentle raw word right place time guy use drom choose cadre angle choose interior follow political aporoach no money no music,Positive,Positive
whos spending 89k on a VW �,negative,536,spend 89k vw,Neutral,Positive
Porsche boy cant get past badge snobbery.,negative,537,porsche boy not get past badge snobbery,Neutral,Negative
"So the GLE has better engine, better ride quality, better rear legroom but X5 won?",positive,538,gle well engine well ride quality well rear legroom but x5,Positive,Positive
XC90 is missing in this test!�,neutral,539,xc90 miss test,Negative,Positive
Xiaomi su7 and ultra solo then all,neutral,540,xiaomi su7 ultra solo,Neutral,Neutral
Why are they all SUVs?,neutral,541,suv,Neutral,Neutral
"Pointless to hire to a racecar driver to press a button that says launch,  wait for some shouts, then push the gaspedal,  drive for 20 seconds straight ahead on a deserted runway.",negative,542,pointless hire racecar driver press button say launch wait shout push gaspedal drive 20 second straight ahead desert runway,Negative,Negative
Finally the best looking BMW out of them all SUVs.,positive,543,finally best look bmw suv,Positive,Positive
Where’s lexus,neutral,544,lexus,Neutral,Neutral
i can only see 3 cars here...,neutral,545,see 3 car,Neutral,Neutral
None of them.,neutral,546,none,Neutral,Neutral
BMW THE BEST ��,positive,547,bmw best,Positive,Positive
Really like the more prominent satirical component and the on point complaints packed with a bunch of humor. Good Style:),positive,548,really like more prominent satirical component point complaint pack bunch humor good style,Positive,Positive
Why didn’t you compare them with similar engine setup? All plugins for example �,neutral,549,not compare similar engine setup plugins example,Neutral,Negative
In depth wow car wow. Wow this is awesome. Im waiting for the tiguan,positive,550,depth wow car wow wow awesome waiting tiguan,Positive,Positive
"used the wrong Cayenne IMO , needed the V8 twin turbo . Who wants a hybrid Porsche ?",negative,551,use wrong cayenne go need v8 twin turbo want hybrid porsche,Negative,Negative
BMW fanboy strikes again...,negative,552,bmw fanboy strike,Negative,Negative
"The reality is that people don't need these cars, only their egos do.",negative,553,reality people not need car egos,Neutral,Negative
Why do we want a diesel when getting one of these?,neutral,554,want diesel get one,Neutral,Positive
why Miguel have 2 glasses on?,neutral,555,miguel 2 glass,Neutral,Neutral
BMW�,neutral,556,bmw,Neutral,Neutral
All are junk.,negative,557,junk,Negative,Negative
Same platform same engine different tuning Insane prices�,negative,558,platform engine different tune insane price,Negative,Positive
"I wish the US got the new version of the Touareg, the atlas is a load of crap",negative,559,wish u get new version touareg atlas load crap,Negative,Positive
Nice watch,positive,560,nice watch,Positive,Positive
Three of the cars are made by the same company.,neutral,561,three car make company,Neutral,Neutral
The merc clearly has a nicer interior than the bmw. BMW looks very plastic. Plus bmw has copied the Mercedes layout.,positive,562,merc clearly nicer interior bmw bmw look very plastic plus bmw copied mercedes layout,Positive,Positive
"Thank god for aftermarket wheels! I'm talking to you, porsche. Great content as always �",positive,563,thank god aftermarket wheel talk porsche great content always,Positive,Negative
�Leather made from scrotums is crazy,negative,564,leather make scrotum crazy,Negative,Negative
"Dear Mat, may we please get a rematch for us BMW fanboys. The M5CS vs The RS7 performance please",neutral,565,dear mat may please get rematch u bmw fanboys m5cs v rs7 performance please,Neutral,Positive
I had no clue doorgasm was a thing,neutral,566,no clue doorgasm thing,Neutral,Neutral
"Is the deployable tow hitch a UK only option? I asked the Porsche dealer here in the US, they have no idea if such option exist.",neutral,567,deployable tow hitch uk option ask porsche dealer u no idea option exist,Neutral,Negative
I just want a SUV that's 4wd and has a manual transmission while looking new and stylish,neutral,568,want suv 4wd manual transmission look new stylish,Positive,Positive
I think the best one is the VW Touareg here because it’s the best Looking Car an it’s fast,positive,569,think best one vw touareg best look car fast,Positive,Positive
Mat please the Touareg has soft close nana,neutral,570,mat please touareg soft close nana,Positive,Negative
Missing - Maserati Levante ... should have been in this test .... why not ?? �,neutral,571,miss maserati levante test not,Negative,Negative
Nope!! Don’t care for any of them,neutral,572,nope not care,Neutral,Negative
The audi and the toureg are the best value and very well rounded SUVs,positive,573,audi toureg best value very well round suv,Positive,Positive
Half a million quids worth in those 5 cars! Must have to have a screw loose to order them new at those prices! lol,neutral,574,half million quid worth 5 car must screw loose order new price lol,Neutral,Positive
For once I agree 100% yet cannot buy any of the cars,neutral,575,agree 100 yet not buy car,Neutral,Negative
Rather have a fully loaded XC90,positive,576,rather fully load xc90,Neutral,Neutral
BMW’s are so ugly nowadays wtf happened,negative,577,bmw ugly nowadays wtf happen,Negative,Neutral
More electrics More problems!,negative,578,more electric more problem,Negative,Negative
3 Volkswagen 1 Gelly and 1 BMW,neutral,579,3 volkswagen 1 gelly 1 bmw,Neutral,Neutral
"I love how the ""luxury"" test is based on a VW Golf advert �",positive,580,love luxury test base vw golf advert,Positive,Positive
If you can get an F1 car then you can get an indycar and you should race that,neutral,581,get f1 car get indycar race,Neutral,Positive
"You should compare not the newest Touareg, you better pick the older one 2021",neutral,582,compare not new touareg well pick old one 2021,Positive,Positive
Volkvqgen vs volkswagen vs volkswagen vs volkswagen �,neutral,583,volkvqgen v volkswagen v volkswagen v volkswagen,Neutral,Neutral
BMW for the win,positive,584,bmw win,Positive,Positive
Haha Matt has to be the biggest Mercedes hater there is,negative,585,haha matt big mercedes hater,Negative,Negative
"Which is best...none of them, they are all overpriced busses.",negative,586,best none overprice bus,Positive,Positive
Ouawww 26 min for 5 reviews cars perfect �. It’s not annoying and it’s really dynamic. Perfect I love it �. Thanks,positive,587,ouawww 26 min 5 review car perfect not annoy really dynamic perfect love thanks,Positive,Positive
"Audi, the family friendly brand",positive,588,audi family friendly brand,Positive,Neutral
"That's not ""people's car"" no more",negative,589,not people car no more,Neutral,Negative
Audi looks outdated.,negative,590,audi look outdated,Neutral,Neutral
These SUVs are just fat wagons. Not even close to a SUV.,negative,591,suv fat wagon not even close suv,Negative,Negative
I don't no why but why die you comparison Q7 with x5 and gle why not x7 with gls and the Q7 this was more realistic,neutral,592,not no but die comparison q7 x5 gle not x7 gls q7 more realistic,Neutral,Negative
"90k Volkswagen?
Ah yes, the people's car. And we thought they were nuts when the Phaeton came out, lol.",neutral,593,90k volkswagen ah yes people car think nuts phaeton come lol,Neutral,Negative
"BMW is always winning but Porsche being there I thought not this time,I'm glad it did still�",positive,594,bmw always win but porsche think not time glad still,Positive,Negative
Scrotums��,neutral,595,scrotum,Neutral,Neutral
When the ZR1 review coming?,neutral,596,zr1 review come,Neutral,Positive
5:55 ���he never misses,positive,597,5 55 never miss,Positive,Negative
Can you do a drag race between a mg cyberster and a Tesla Model 3 Performance?,neutral,598,drag race mg cyberster tesla model 3 performance,Negative,Positive
0:04 0:03 мерседес всё же лучше,neutral,599,0 04 0 03 мерседес всё же лучше,Neutral,Neutral
"I watch mat talking the ""audi is the best"" and on the end its finish 3rd :(",neutral,600,watch mat talk audi best end finish 3rd,Positive,Positive
I would take the EV9 over all of these and still keep money for several family holidays,neutral,601,would take ev9 still keep money several family holiday,Neutral,Negative
13:16 … ‘back door handling’ is VERY important. ���,positive,602,13 16 back door handle very important,Positive,Positive
8:39 … nothing WEIRD @all,neutral,603,8 39 nothing weird,Negative,Neutral
"We want drag race between 
Lamborghini Aventador svj vs ford gt",neutral,604,want drag race lamborghini aventador svj v ford gt,Negative,Positive
"THIS is how you compare vehicles ! Not the ""compilation of old videos"" ! Amen",positive,605,compare vehicle not compilation old video amen,Neutral,Neutral
"You can get soft close on a Tuareg, just because it’s not on this particular press car doesn’t make it a whole negative point. That’s just typical Carwow , don’t review the actual car , review the spec of the press car and complain about it",positive,606,get soft close tuareg not particular press car not make whole negative point typical carwow not review actual car review spec press car complain,Negative,Negative
"The air systems that allow these SUVs to lower for ""easy loading"" have never been a sell point for me. If it's not lowering the vehicle by half a foot (or proper measurements like you all do throughout the rest of the world) I don't see the point.",neutral,607,air system allow suvs low easy load never sell point not lower vehicle half foot proper measurement like throughout rest world not see point,Positive,Negative
"Q7 best car overall, end of story. Bmw 2nd",positive,608,q7 best car overall end story bmw 2nd,Positive,Positive
3 of them are maide in Slovakia:). German car:)))),neutral,609,3 maide slovakia german car,Neutral,Neutral
If there was no bmw in this test it would’ve still won in Matthew’s opinion�,negative,610,no bmw test would still matthew opinion,Neutral,Negative
"In around 17 years time I predict that you will be featuring these exact cars in an off road test, laughing as the bumper is ripped off and chuckling that it has bottomed out over a ludicrously oversized rock and you have lost the sump. Depreciation is savage �",neutral,611,around 17 year time predict feature exact car road test laugh bumper rip chuckle bottom ludicrously oversized rock lose sump depreciation savage,Negative,Negative
"Nice review as usual, disappointed that you didn't include anything from JLR. How would they have compared?",negative,612,nice review usual disappointed not include anything jlr would compare,Neutral,Negative
"Is it just me or the VW and porsche engine bay plus engine, break system, coolant container and a few stuff look the same and the audi also but audi have a kind a different engine and one thing missing are they all same platform?",neutral,613,vw porsche engine bay plus engine break system coolant container stuff look audi also but audi kind different engine one thing miss platform,Negative,Positive
These car prices are so high for what you’re getting. Almost £100k and in 6 months your neighbour will have a newer one with those better LED lights �,negative,614,car price high get almost 100k 6 month neighbour newer one good lead light,Positive,Positive
I'd have a secondhand Perodua Nippa.,neutral,615,would secondhand perodua nippa,Neutral,Neutral
"Why exactly the bmw won I don't know, but I'll take it as a BMW fan.",positive,616,exactly bmw not know but take bmw fan,Neutral,Negative
Honda,neutral,617,honda,Neutral,Neutral
"1 BMW, 1 mercedes and 3 volkswagen))",neutral,618,1 bmw 1 mercedes 3 volkswagen,Neutral,Neutral
Shame no Alfa or Volvo in the video. Both are interesting cars for their own merits.,negative,619,shame no alfa volvo video interest car merit,Neutral,Neutral
Always BMW,positive,620,always bmw,Neutral,Neutral
None of them win they are all SUV's BORING.....,negative,621,none win suv boring,Negative,Positive
Since when did VW become luxury….,neutral,622,since vw become luxury,Positive,Positive
What in the fuck did you just say about the best looking car here 5:36,positive,623,fuck say best look car 5 36,Neutral,Positive
epic video as always �,positive,624,epic video always,Neutral,Neutral
Thumbnail already has all the vehicles ranked in the correct order starting with the best one from the left ��,positive,625,thumbnail already vehicle rank correct order start best one left,Positive,Positive
Touaregs are supposed to be affordable cars with a lot of the luxuries and tech from Audi but now it's more expensive than a Q7???,negative,626,touaregs suppose affordable car lot luxury tech audi but more expensive q7,Positive,Positive
They're all driven by entitled idiots who need their licences taken off them because they don't know the difference between the road and the pavement so it doesn't matter.,negative,627,driven entitle idiot need licence take not know difference road pavement not matter,Negative,Negative
"I will take the Bimma , Porsche, Mercedes, Audi.",positive,628,take bimma porsche mercedes audi,Neutral,Neutral
Wrong you could buy a Land Rover discovery. Cheaper and bigger more room.,neutral,629,wrong could buy land rover discovery cheap big more room,Negative,Negative
Its got to be hard to compare 5 cars at once and keep everything sorted in your head as to which felt best.,positive,630,get hard compare 5 car keep everything sort head felt best,Neutral,Positive
Why do you hate volkswagen?,negative,631,hate volkswagen,Negative,Negative
Bmw always ❤,positive,632,bmw always,Neutral,Neutral
And best is Volvo,positive,633,best volvo,Positive,Positive
Watch out for corners with that Audi,neutral,634,watch corner audi,Neutral,Neutral
VW knows how to sell Touareg in different styling,neutral,635,vw know sell touareg different styling,Neutral,Positive
Where is Volvo?,neutral,636,volvo,Neutral,Neutral
Ultimate driving machine wins�,positive,637,ultimate driving machine win,Positive,Neutral
Sf90 vs sf90xx,neutral,638,sf90 v sf90xx,Neutral,Neutral
���,neutral,639,,Neutral,Neutral
Audi OOOO the best! :),positive,640,audi oooo best,Positive,Positive
"BMW is the best ��
Shut it down",positive,641,bmw best shut,Positive,Positive
I think this is the first a Mercedes has won a drag race ��,neutral,642,think first mercedes drag race,Negative,Positive
"say what you want about the new BMW styling phylosophy, it has the most soul still",positive,643,say want new bmw style phylosophy soul still,Neutral,Positive
I just realised Matt is a VW hater �����������������������������������������,negative,644,realise matt vw hater,Negative,Negative
I don’t care which is best but the Audi and BMW are too hideous to look at every day so they lose.,positive,645,not care best but audi bmw hideous look every day lose,Negative,Negative
You should have also putted the ford explorer 457hp!,neutral,646,also putt ford explorer 457hp,Neutral,Neutral
"I haven’t seen this video yet but I’m sure that Benz is the worst over priced trash, and the VW is a beauty.",negative,647,not see video yet but sure benz worst price trash vw beauty,Negative,Negative
"It's always fvking bmw, Mat is a bmw fanboy, that's confirmed",negative,648,always fvking bmw mat bmw fanboy confirm,Neutral,Neutral
"Love it or hate it,Mercedes will always make an entrance wherever ever you go",positive,649,love hate mercedes always make entrance wherever ever go,Neutral,Positive
Audi for the win!! Who’s with me?,positive,650,audi win,Positive,Positive
"Im more curious to know, what kind of mental illness you gotta have to spend 90k for something with a VW badge �",negative,651,more curious know kind mental illness get spend 90k something vw badge,Negative,Neutral
You don't really need anything more than a Touareg.,positive,652,not really need anything more touareg,Neutral,Neutral
nothin' wrong with a reach-around Mat,neutral,653,nothing wrong reach around mat,Negative,Negative
Idk what you guys think but i think Cayenne looks like it’s from 2010’s. Very outdated front,negative,654,not know guy think but think cayenne look like 2010 very outdated front,Positive,Negative
"90.000 £ for a tuareg, bruh �",negative,655,90 000 tuareg bruh,Neutral,Neutral
What the hell is going on in the comments,neutral,656,hell go comment,Negative,Negative
❤❤❤❤,neutral,657,,Neutral,Neutral
"BMW is ugly, any of those apart of BMW for sure",negative,658,bmw ugly apart bmw sure,Negative,Neutral
All those cars still lighter than m5 �,neutral,659,car still light m5,Neutral,Negative
"Great to see a head to head comparison, this is why I subscribed in the first place",positive,660,great see head head comparison subscribe first place,Positive,Negative
"So the audi is the best car all round (something unless youre rich and have money to throw away you're going to want), but doesn't win because in matts opinion its not the best looking? Crazy times",positive,661,audi best car round something unless rich money throw away go want but not win matts opinion not best look crazy time,Negative,Negative
As Volvo guy where is the XC90?,neutral,662,volvo guy xc90,Neutral,Neutral
Carwow videos are the best �,positive,663,carwow video best,Positive,Positive
Tesla,neutral,664,tesla,Neutral,Neutral
Missing a LR and a Volvo in the comparison,neutral,665,miss lr volvo comparison,Negative,Negative
Use Q8 Sir,neutral,666,use q8 sir,Neutral,Neutral
I love reviews more than drags! Thanks mattt!!,positive,667,love review more drags thanks mattt,Neutral,Positive
GLE FUCKS easily.,positive,668,gle fuck easily,Negative,Positive
That is one dense episode! Great���,positive,669,one dense episode great,Neutral,Neutral
"The BMW has by far the smallest knee room, even smaller than in the X3.
It just doesn't show because Mat has very short legs.",neutral,670,bmw far small knee room even small x3 not show mat very short leg,Neutral,Negative
Well the vw is really worth the price… it is a verry good car good quality and better than Those bmw and merc … and its a good engine,positive,671,well vw really worth price verry good car good quality well bmw merc good engine,Positive,Positive
"Why is VW even considered for this comparison? They are not even premium class, you have Audi and Porche as their premium members (built on a same platform).",negative,672,vw even consider comparison not even premium class audi porche premium member build platform,Neutral,Positive
Audi is clearly overall most practical for day to day use. Or you can buy a badge. But can you be honest with yourself?,positive,673,audi clearly overall practical day day use buy badge but honest,Positive,Positive
three VW vs merc and bmw,neutral,674,three vw v merc bmw,Neutral,Neutral
The GLE is literal poo. So cheaply made. It's a horrible car.,negative,675,gle literal poo cheaply make horrible car,Negative,Negative
"With the price of some of these cars I'd need what I paid for it stuck on the back window because no one will believe it!. Or maybe that would just leave me open to ridicule? German made cars the ticket price is only the staring point. 
Sales Assistant.....""But you will NEED these £25,000 of extras before you can drive it away""",negative,676,price car would need pay stick back window no one believe maybe would leave open ridicule german make car ticket price star point sale assistant but need 25 000 extra drive away,Negative,Negative
All way too expensive.  Don't buy any of them!,negative,677,way expensive not buy,Negative,Negative
"Speed - Porsche 
Luxury - BMW 
Fuel economy, affordability- VW",neutral,678,speed porsche luxury bmw fuel economy affordability vw,Positive,Positive
What happened at 0:14?? Looks fine to me,neutral,679,happen 0 14 look fine,Positive,Negative
Id have a polestar 3 over any of these,neutral,680,id polestar 3,Neutral,Neutral
Why is the audi back door panel looks 90% like the 2014 audi a6�,neutral,681,audi back door panel look 90 like 2014 audi a6,Positive,Neutral
Iets been over a year since you guys raced the Ferrari SF90 vs the 3000hp Nissan Patrol. And the Nissan shit it self in the video and you said you would do it again when it was fixed. But its been over a year now. Whats happening with that?,neutral,682,iets year since guy race ferrari sf90 v 3000hp nissan patrol nissan shit self video say would fix but year happening,Negative,Negative
eboladrome,neutral,683,eboladrome,Neutral,Neutral
Imagine paying about 90k for a vw ����,negative,684,imagine pay 90k vw,Neutral,Neutral
$90k for a VW......�,negative,685,90k vw,Neutral,Neutral
"This was a bit of a joke, clear bias towards the Merc and BMW, I love how Matt and CW have transformed car reviews and testing but they still need to be objective.",negative,686,bit joke clear bias towards merc bmw love matt cw transform car review test but still need objective,Neutral,Positive
Amazing video. Please do the same on mid size SUV. X3 ETC,positive,687,amaze video please mid size suv x3 etc,Positive,Negative
What a bunch of dinosaurs these 5 are,negative,688,bunch dinosaurs 5,Neutral,Negative
It should have been an x7 to compare to all the other cars,neutral,689,x7 compare car,Neutral,Positive
I was wondering what exactly is a Mercedes Jelly.,neutral,690,wonder exactly mercedes jelly,Positive,Positive
No Lexus?,neutral,691,no lexus,Neutral,Neutral
"dude I am 11 how am I gonna sell my car ""just a joke""",neutral,692,dude 11 go sell car joke,Negative,Positive
which shoes is matt watson wearing in this video?,neutral,693,shoe matt watson wear video,Neutral,Negative
�,neutral,694,,Neutral,Neutral
Damn that Touareg is way too expensive,negative,695,damn touareg way expensive,Negative,Positive
I want a suv you can sleep in the back  need matt to do the lie down test,neutral,696,want suv sleep back need matt lie test,Negative,Negative
